login,enterprise_team_name
amber-deer-lime,platform-engineering
ancient-dolphin-lime,platform-engineering
ancient-python-tangerine,platform-engineering
ancient-turtle-cranberry,platform-engineering
bold-stingray-date,platform-engineering
bold-swallow-apricot,platform-engineering
brave-eagle-persimmon,platform-engineering
brave-gecko-pineapple,platform-engineering
brave-panda-pomegranate,platform-engineering
brave-penguin-olive,platform-engineering
brave-rhino-cocoa,platform-engineering
breezy-bear-noodle,platform-engineering
breezy-cheetah-orange,platform-engineering
bright-badger-sage,platform-engineering
bright-cobra-sage,platform-engineering
bright-jaguar-persimmon,platform-engineering
bubbly-falcon-melon,platform-engineering
bubbly-hippo-mango,platform-engineering
bubbly-parrot-orchid,platform-engineering
calm-falcon-bagel,platform-engineering
calm-lemur-guava,platform-engineering
calm-lemur-pear,platform-engineering
calm-otter-grape,platform-engineering
calm-sloth-apple,platform-engineering
chill-manatee-bagel,platform-engineering
chill-moose-cookie,platform-engineering
clever-owl-sage,platform-engineering
clever-owl-strawberry,platform-engineering
cosmic-owl-pancake,platform-engineering
cosmic-swan-noodle,platform-engineering
cosmic-turtle-tulip,platform-engineering
crimson-lizard-cinnamon,platform-engineering
crimson-otter-watermelon,platform-engineering
crimson-penguin-orange,platform-engineering
curious-falcon-tulip,platform-engineering
curious-python-onion,platform-engineering
curious-whale-sushi,platform-engineering
eager-rabbit-date,developer-experience
eager-starfish-tulip,developer-experience
eager-tiger-thyme,developer-experience
eager-turtle-sage,developer-experience
fearless-crane-donut,developer-experience
fearless-otter-grape,developer-experience
fearless-starfish-kiwi,developer-experience
fearless-swan-noodle,developer-experience
fiery-crab-lychee,developer-experience
fiery-tiger-garlic,developer-experience
fresh-bison-tulip,developer-experience
fresh-cheetah-bagel,developer-experience
fresh-whale-garlic,developer-experience
fuzzy-falcon-sage,developer-experience
fuzzy-heron-daisy,developer-experience
fuzzy-tiger-thyme,developer-experience
gentle-python-daisy,developer-experience
glad-rabbit-olive,developer-experience
glad-wolf-cantaloupe,developer-experience
glossy-firefly-cantaloupe,developer-experience
glossy-octopus-guava,developer-experience
glossy-rhino-onion,developer-experience
golden-wolf-cinnamon,developer-experience
graceful-moose-cantaloupe,developer-experience
graceful-moose-coconut,developer-experience
graceful-panther-tangerine,developer-experience
happy-lion-olive,data-science
happy-stingray-strawberry,data-science
icy-firefly-cantaloupe,data-science
kind-crab-blackberry,data-science
kind-hamster-pumpkin,data-science
kind-jaguar-melon,data-science
lonely-camel-thyme,data-science
lonely-crab-garlic,data-science
lonely-parrot-tulip,data-science
lonely-rabbit-apricot,data-science
lunar-camel-daisy,data-science
lunar-crane-guava,data-science
lunar-iguana-persimmon,data-science
lunar-lion-raspberry,data-science
lunar-lobster-sage,data-science
lunar-moose-sunflower,data-science
mellow-camel-onion,data-science
mellow-kangaroo-sunflower,data-science
mighty-crab-kiwi,data-science
mighty-kangaroo-pineapple,data-science
misty-crab-maple,data-science
misty-koala-maple,data-science
misty-manatee-cupcake,data-science
misty-rhino-cantaloupe,data-science
modern-camel-cinnamon,data-science
modern-crab-garlic,data-science
modern-dragonfly-donut,data-science
modern-eagle-bagel,data-science
modern-lizard-banana,data-science
nimble-gorilla-garlic,security
nimble-jaguar-fig,security
nimble-penguin-raspberry,security
nimble-penguin-tangerine,security
nimble-sparrow-maple,security
nimble-wolf-blackberry,security
patient-jaguar-tomato,security
playful-octopus-apricot,security
playful-stingray-banana,security
playful-whale-cherry,security
plucky-swallow-mint,security
proud-alpaca-melon,security
proud-heron-carrot,security
proud-iguana-tangerine,security
proud-panther-lemon,security
proud-python-basil,security
proud-sloth-date,security
proud-turtle-cocoa,security
quiet-cheetah-pineapple,security
quiet-crab-donut,security
radiant-panther-onion,security
radiant-swallow-guava,security
radiant-swan-cherry,security
rapid-kangaroo-pancake,security
rapid-stingray-coffee,security
shy-lion-coconut,product
shy-panther-plum,product
shy-seahorse-potato,product
shy-seal-tomato,product
silly-panda-pancake,product
silver-bear-bagel,product
silver-buffalo-cocoa,product
silver-camel-plum,product
silver-dragonfly-orchid,product
silver-heron-carrot,product
silver-hippo-garlic,product
silver-hippo-tangerine,product
sleepy-hamster-grape,product
sleepy-manatee-honey,product
sleepy-rabbit-blueberry,product
sleepy-turtle-cupcake,product
soft-antelope-strawberry,product
soft-beaver-fig,product
soft-camel-waffle,product
soft-crane-donut,product
soft-deer-apple,product
soft-gorilla-plum,product
soft-penguin-tangerine,product
soft-shark-sage,product
solar-crow-onion,product
solar-owl-grape,product
solar-swallow-cinnamon,product
sparkly-sparrow-maple,product
sparkly-stingray-thyme,product
sparkly-swan-cinnamon,product
sparkly-yak-potato,product
spicy-crane-orchid,product
spicy-crane-strawberry,product
spicy-owl-pancake,product
spicy-seal-apple,product
steady-butterfly-cinnamon,product
steady-kangaroo-sage,product
steady-starfish-vanilla,product
steady-wolf-onion,product
stellar-firefly-cantaloupe,product
stellar-lobster-melon,product
stellar-rhino-ginger,product
stormy-shark-lemon,product
sunny-buffalo-grape,product
sunny-ladybug-sage,product
sunny-rabbit-pancake,product
swift-owl-nectarine,product
swift-wolf-cantaloupe,product
tender-penguin-fig,product
vivid-camel-raspberry,product
vivid-starfish-pepper,product
